clusters,%evopop,PIB/hab,%protani,Dispoalim(Kcal/hab/an),Dispoprot(kg/hab/an),impvola
1,31.760945502120354,25139.92400728821,42.41327477155311,1174570.0,33.60993,146600000.0
2,12.215107058078214,1797.203610991629,24.66428363984535,873397.6851851852,21.856875925925916,32907407.407407407
3,6.79663679196634,6358.566827473676,47.499524017761914,994506.9117647059,27.64746176470588,16676470.588235294
4,1.165423165932231,16337.833300984794,54.21565218663663,1143275.5952380951,34.69637857142857,44833333.333333336
5,7.725262405431239,6175.614120124499,28.571488694547973,1224731.4285714286,35.471221428571425,22285714.285714287
6,4.6253183527505595,8687.987436471227,45.51906304962286,1085291.0,32.17913,449800000.0
7,4.317679238762061,37256.02275291217,58.231765302305384,1185155.0,37.55895625,820625000.0
8,5.437813260488927,66009.14777309593,62.3924659722685,1242323.125,39.60569375,66312500.0
